
=======================================================
  REPORTE DE CALIDAD — 2026-05-20 23:59:51
[CALIF] Resenas_Usuarios id=68 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=71 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=74 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=76 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=78 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=80 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=81 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=83 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=84 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=90 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=91 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=92 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=94 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=95 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=96 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=97 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=99 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=100 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=101 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=103 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=104 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=105 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=106 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=109 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=110 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=111 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=114 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=116 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=117 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=118 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=123 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=124 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=127 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=131 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=132 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=133 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=134 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=136 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=137 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=138 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=139 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=140 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=141 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=143 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=149 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=153 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=154 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=156 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=160 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=161 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=162 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=163 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=166 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=169 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=172 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=173 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=175 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=176 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=179 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=180 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=181 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=186 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=188 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=191 calificacion invalida: '10/5'
  ... y 263 errores más.

=======================================================
  FASE D: MIGRACIÓN MONGODB — 2026-05-20 23:59:52
=======================================================
  autores         | OK       | 9 docs
  categorias      | OK       | 12 docs
  editoriales     | OK       | 3 docs
  libros          | OK       | 19 docs
  prestamos       | OK       | 250 docs
  TOTAL insertados en MongoDB: 293

=======================================================
  REPORTE DE CALIDAD — 2026-05-21 01:06:44
=======================================================
[CALIF] Resenas_Usuarios id=1 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=3 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=5 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=8 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=9 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=10 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=12 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=13 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=15 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=16 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=17 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=22 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=23 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=25 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=29 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=30 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=32 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=33 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=35 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=36 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=38 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=40 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=42 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=43 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=44 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=45 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=46 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=48 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=49 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=52 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=53 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=55 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=56 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=63 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=65 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=67 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=68 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=71 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=74 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=76 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=78 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=80 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=81 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=83 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=84 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=90 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=91 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=92 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=94 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=95 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=96 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=97 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=99 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=100 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=101 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=103 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=104 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=105 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=106 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=109 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=110 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=111 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=114 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=116 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=117 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=118 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=123 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=124 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=127 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=131 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=132 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=133 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=134 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=136 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=137 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=138 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=139 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=140 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=141 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=143 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=149 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=153 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=154 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=156 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=160 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=161 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=162 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=163 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=166 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=169 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=172 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=173 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=175 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=176 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=179 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=180 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=181 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=499 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=186 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=188 calificacion invalida: '10/5'
  ... y 631 errores más.

=======================================================
  FASE D: MIGRACIÓN MONGODB — 2026-05-21 01:06:45
=======================================================
  autores         | OK       | 18 docs
  categorias      | OK       | 24 docs
  editoriales     | OK       | 6 docs
  libros          | OK       | 38 docs
  prestamos       | OK       | 500 docs
  TOTAL insertados en MongoDB: 586

=======================================================
  REPORTE DE CALIDAD — 2026-05-21 01:18:25
=======================================================
[CALIF] Resenas_Usuarios id=1 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=3 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=5 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=8 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=9 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=10 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=12 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=13 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=15 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=16 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=17 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=22 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=23 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=25 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=29 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=30 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=32 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=33 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=35 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=36 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=38 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=40 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=42 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=43 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=44 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=45 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=46 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=48 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=49 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=52 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=53 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=55 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=56 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=63 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=65 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=67 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=68 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=71 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=74 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=76 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=78 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=80 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=81 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=83 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=84 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=90 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=91 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=92 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=94 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=95 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=96 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=97 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=99 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=100 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=101 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=103 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=104 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=105 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=106 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=109 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=110 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=111 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=114 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=116 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=117 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=118 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=123 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=124 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=127 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=131 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=132 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=133 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=134 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=136 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=137 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=138 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=139 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=140 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=141 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=143 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=149 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=153 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=154 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=156 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=160 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=161 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=162 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=163 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=166 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=169 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=172 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=173 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=175 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=176 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=179 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=180 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=181 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=499 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=186 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=188 calificacion invalida: '10/5'
  ... y 1014 errores más.

=======================================================
  FASE D: MIGRACIÓN MONGODB — 2026-05-21 01:18:26
=======================================================
  autores         | OK       | 27 docs
  categorias      | OK       | 36 docs
  editoriales     | OK       | 9 docs
  libros          | OK       | 57 docs
  prestamos       | OK       | 750 docs
  TOTAL insertados en MongoDB: 879

=======================================================
  REPORTE DE CALIDAD — 2026-05-21 01:36:09
=======================================================
[CALIF] Resenas_Usuarios id=1 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=3 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=5 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=8 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=9 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=10 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=12 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=13 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=15 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=16 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=17 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=22 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=23 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=25 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=29 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=30 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=32 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=33 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=35 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=36 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=38 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=40 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=42 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=43 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=44 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=45 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=46 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=48 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=49 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=52 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=53 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=55 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=56 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=63 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=65 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=67 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=68 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=71 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=74 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=76 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=78 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=80 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=81 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=83 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=84 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=90 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=91 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=92 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=94 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=95 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=96 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=97 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=99 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=100 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=101 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=103 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=104 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=105 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=106 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=109 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=110 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=111 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=114 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=116 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=117 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=118 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=123 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=124 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=127 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=131 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=132 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=133 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=134 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=136 calificacion invalida: '10/5'
[CALIF] Resenas_Usuarios id=137 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=138 calificacion invalida: 'Cinco'
[CALIF] Resenas_Usuarios id=139 calificacion invalida: '10/5'
